Tour,Temps au tour,1:Section1,2:Section2, 3:Section3
 , ,0-929m,929-1858m,1858-2788m
0,1:36.270 min,0:30.330,0:40.060,0:20.290
1,2:01.010 min,1:06.167,0:27.103,0:27.740
2,1:17.590 min,0:24.387,0:25.863(*),0:27.340
3,1:17.800 min,0:24.210,0:25.890,0:27.700
4,1:17.840 min,0:24.293,0:26.107,0:27.440
5,1:17.820 min,0:24.297,0:26.003,0:27.520
6,1:17.960 min,0:24.277,0:26.113,0:27.570
7,1:17.750 min,0:24.297,0:26.003,0:27.450
8,1:17.630 min,0:24.307,0:26.023,0:27.300
9,1:17.520 min,0:24.190,0:25.990,0:27.340
12,1:18.040 min,0:24.370,0:26.280,0:27.390
13,1:17.460 min,0:24.170,0:25.960,0:27.330
14,1:17.740 min,0:24.127(*),0:25.903,0:27.710
21,2:18.830 min,0:24.990,0:58.310,0:55.530
22,1:03.700 min,1:03.250, ,0:00.450
Temps idéal,1:17.140 min,0:24.127,0:25.863,0:27.150
